"mean","sd","50%","2.5%","97.5%"
0.629671278413546,0.00900095717243625,0.629526057177216,0.612920772307249,0.647766356461017
0.644253830404497,0.00782156801025966,0.644195764265678,0.629363379871013,0.660793615912808
0.652491048170577,0.0077004920297431,0.652548919405318,0.636985990619653,0.667039052953078
0.65948005943737,0.00702918298743071,0.659629572767545,0.645295571445472,0.673466703286935
0.664059547456119,0.00674004417634611,0.663990999054524,0.651031595216706,0.677918232381343
0.667871358797977,0.00620164151063877,0.66766784708402,0.656261382021932,0.679981224031765
0.671475591142097,0.00614925679442177,0.671606636391373,0.659300919891062,0.683595318115358
0.674135906266883,0.00589444438797457,0.674255925586766,0.662498698658151,0.685087025345863
0.676577972523748,0.0059560698197449,0.676505925661236,0.664256339262886,0.68889208798916
0.678928981010453,0.00591140165236567,0.679204817818758,0.667379849990596,0.689968426326072
0.680838925013903,0.00593567771106413,0.680963117402587,0.669473853458279,0.692374159923503
0.682779495475081,0.00542746458591114,0.682740081046757,0.671699153985641,0.693615335247286
0.684514291250476,0.00527765456943017,0.684515643354398,0.674215221770779,0.694922804957577
0.686203147351946,0.00563104616510445,0.686285914159997,0.674530749121888,0.697141864975639
0.687511401076903,0.00520614462560202,0.687572321554047,0.67727342995345,0.698217787879052
0.688895653847481,0.00500203825665699,0.688929277855635,0.679088726673271,0.69829910268568
0.690221772246516,0.00495437827376821,0.690306334992729,0.68056154194621,0.699530041690164
0.691779901898739,0.00497271405729898,0.691913614249297,0.682515365201692,0.701915055358661
0.692671730437768,0.00497204956982504,0.692807812841956,0.683064423365136,0.702561103948102
0.693658979901518,0.00490186076730497,0.693316685251714,0.684585946814372,0.703777046189239
0.694544721229856,0.00463135035637519,0.694633006870407,0.686052128796907,0.703652057086483
0.695865847579105,0.00463952798425295,0.695823925410195,0.686887032176303,0.704883344315641
0.696562934037205,0.0047074002240115,0.696493427690492,0.687454289059419,0.705104470053363
0.697692870010565,0.00456801982629195,0.6978208531109,0.688608114194012,0.706585510814578
