"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
2774,7251,12825,16834,20286,24053,27463,30718,33356,35700
2770,7219,12760,16741,20171,23919,27308,30547,33174,35491
2765,7170,12683,16630,20035,23764,27125,30324,32928,35211
2756,7122,12604,16515,19896,23593,26911,30074,32658,34884
2740,7023,12437,16302,19647,23302,26583,29674,32231,34382
2711,6860,12198,15956,19219,22770,25994,28990,31509,33572
2614,6433,11552,14992,18048,21317,24315,27049,29424,31282
2044,5109,9223,11576,13791,16122,18364,20392,22263,23625
650,1588,2839,3627,4431,5095,5823,6448,7070,7411
