"election","group","t.value","df","p","diff","x.mean","y.mean","sd","treated.N"
"dole_pct_ei","white",1.05538287008946,97.3996339918626,0.293861107896266,0.0249312096121579,0.356923272770424,0.331992063158266,0.0236229053159113,50
"dole_pct_ei","black",0.621418013775413,126.862810037431,0.5354396589787,0.000586149976650345,0.00934088214543452,0.00875473216878418,0.00094324587259581,75
"bush2000_pct_ei","white",2.08546828942508,97.0358350299385,0.0396512780237948,0.0491509418891151,0.413171687584857,0.364020745695742,0.0235682998098547,50
"bush2000_pct_ei","black",1.32541445193398,146.800811309314,0.18709275085629,0.00150668627695286,0.0141476832066168,0.012640996929664,0.00113676614492499,75
"obama_sen_primary_pct_ei","white",4.25962244377709,97.8853920655008,4.70910071985742e-05,0.151802326728451,0.470569676544685,0.318767349816234,0.0356375074861905,51
"obama_sen_primary_pct_ei","black",-0.0587925555244742,125.989124397336,0.953210487634482,-0.000469656989845801,0.903813779726392,0.904283436716238,0.00798837515491723,64
"keyes_pct_ei","white",0.271770269566307,60.0786066740595,0.786730411461773,0.00662475015103481,0.226846518611162,0.220221768460127,0.0243762872282043,51
"keyes_pct_ei","black",0.695273141555263,113.343986694941,0.488307127358468,0.00154080123775177,0.031073393896407,0.0295325926586553,0.00221610924636774,64
"bush2004_pct_ei","white",0.85944944353286,83.1811806848755,0.392562742990462,0.023081647541763,0.448076740515901,0.424995092974139,0.0268563179782668,51
"bush2004_pct_ei","black",2.69453109329112,91.7002742826134,0.00838361307538449,0.00647388644224951,0.028174156100059,0.0217002696578095,0.00240260224065266,64
"obama_pres_primary_pct_ei","white",4.59479874286098,99.7639104969653,1.26910045303852e-05,0.127597522449333,0.570233768302075,0.442636245852742,0.0277699915905095,51
"obama_pres_primary_pct_ei","black",-1.16249567238457,111.252341856579,0.247521817871928,-0.0036106722996101,0.960485102442215,0.964095774741825,0.00310596622884945,64
"mccain_pct_ei","white",0.0192330068786443,92.6131435168442,0.984696602007255,0.000565836546313259,0.360157725636884,0.35959188909057,0.0294200771560866,51
"mccain_pct_ei","black",1.37956581481655,72.3114968966662,0.171971717254952,0.00246503995956246,0.0062829290975036,0.00381788913794115,0.00178682302293077,64
