"election","group","t.value","df","p","diff","x.mean","y.mean","sd","treated.N"
"dole_pct_ei","white",5.19766620161734,76.9952122514255,1.61126258180211e-06,0.104756813637244,0.356923272770424,0.25216645913318,0.0201545866113232,50
"dole_pct_ei","black",0.503740545855397,144.750297890196,0.615209501484284,0.000487054505176712,0.00934088214543452,0.00885382764025781,0.00096687572438635,75
"bush2000_pct_ei","white",3.86744268756147,63.1389089962225,0.000262666048073346,0.0886216923535085,0.413171687584857,0.324549995231348,0.0229148043068705,50
"bush2000_pct_ei","black",1.94574435249477,128.378391333426,0.0538706594909617,0.00240204058168341,0.0141476832066168,0.0117456426249334,0.00123450985665388,75
"obama_sen_primary_pct_ei","white",2.68414035833947,48.8674449081766,0.00989928975923826,0.14694538237983,0.470569676544685,0.323624294164855,0.0547457892517724,51
"obama_sen_primary_pct_ei","black",-1.93546395910759,120.709626255804,0.0552720335439463,-0.0162660187584424,0.903813779726392,0.920079798484835,0.00840419615250411,64
"keyes_pct_ei","white",1.39444705024336,95.6286962271572,0.166413799526782,0.0311734386561894,0.226846518611162,0.195673079954973,0.0223554122408226,51
"keyes_pct_ei","black",1.83587977140162,95.6570638347345,0.0694819597428493,0.00426015937601406,0.031073393896407,0.026813234520393,0.00232050019961906,64
"bush2004_pct_ei","white",2.30349345504724,88.5429145553529,0.0235931207945517,0.0644503397240607,0.448076740515901,0.383626400791841,0.0279793891243069,51
"bush2004_pct_ei","black",2.59045082589875,90.5583898810156,0.0111703111669688,0.00698179688852054,0.028174156100059,0.0211923592115385,0.00269520533596627,64
"obama_pres_primary_pct_ei","white",4.25541229443094,51.6845505224643,8.79558048030304e-05,0.172998718123512,0.570233768302075,0.397235050178563,0.0406538088800269,51
"obama_pres_primary_pct_ei","black",0.114762879495374,110.551428295511,0.908841252218334,0.000403521434495624,0.960485102442215,0.960081581007719,0.00351613201298151,64
"mccain_pct_ei","white",-0.568059017041067,69.8134143967201,0.5718174585615,-0.0199665910534639,0.360157725636884,0.380124316690348,0.0351487969638557,51
"mccain_pct_ei","black",1.64137110601396,62.1538961992478,0.105771516578922,0.00315393156519972,0.0062829290975036,0.00312899753230388,0.00192152253298706,64
