"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
-0.0197148883180521,-0.0338904587846133,-0.0215893654993082,-0.0230731916572933,-0.0234688491639447,-0.0278875430520435,-0.0310354061857433,-0.0313341138053454,-0.0305759386032896,-0.0305242251190605
-0.0173890881663831,-0.0339620560315786,-0.0206852041339803,-0.0239978293168661,-0.022817243273203,-0.0275198876783949,-0.0308782079028882,-0.0318813058831438,-0.0305776220969554,-0.0301913705714193
-0.0184768950719117,-0.033950558163162,-0.0228089770431385,-0.0233145649781315,-0.0229073398426766,-0.0276933567604812,-0.0308148625751646,-0.0322553557606801,-0.030357165846856,-0.0305743184243521
-0.0187890230854509,-0.0341083974722052,-0.0206308559139265,-0.0247316915179853,-0.0233028414864332,-0.0285899653774125,-0.0305663401154757,-0.0314777807140268,-0.0304583591316607,-0.0306453584630489
-0.018629003670287,-0.0332851765478056,-0.0213470080931947,-0.0243107823704667,-0.02349076477855,-0.0285322720480416,-0.0306711889755003,-0.0315259123466732,-0.0304482676333752,-0.0306091697551642
-0.0141866693704592,-0.0335701327168772,-0.0222152054701665,-0.0242244240819806,-0.0236704263453359,-0.0296586659954316,-0.0317313821009834,-0.0322786431765641,-0.0306232944090957,-0.0305503079018277
-0.0151578280211494,-0.0319233176175152,-0.0206230837499829,-0.0227223138965948,-0.0230956462033877,-0.0272247990382625,-0.0304529497796228,-0.032553248190329,-0.0311341380291272,-0.0312753476582526
-0.0221342679213137,-0.0383268950791821,-0.0209232003242442,-0.0230657051782766,-0.0254118493904603,-0.0288205825057441,-0.0326157962668351,-0.0334110882842569,-0.0328131248644621,-0.0323693168849356
-0.0600680852076383,-0.0663811608894745,-0.0480038913322282,-0.0462325826233755,-0.0444635927940642,-0.048520315478966,-0.0479607474597822,-0.0500322895146704,-0.0464374058548815,-0.0474528551583038
