"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
-0.103278036676969,-0.118263225743226,-0.119885564875923,-0.10431637273932,-0.108606786077941,-0.0789024881365385,-0.0660895064922934,-0.0510874997709758,-0.0467680743334753,-0.0375347188673946
-0.110931937825863,-0.121160140902883,-0.12102889475667,-0.108186232507215,-0.112153730511293,-0.080330347159482,-0.0668783599243423,-0.0524016943454208,-0.0464241512503617,-0.0387457656182145
-0.115590670016088,-0.128391335968495,-0.126703087498211,-0.111050301164244,-0.112844940496531,-0.0808238308585634,-0.0642844671287508,-0.0503289995360843,-0.0475621401262012,-0.0386646125259638
-0.148130306673061,-0.135644975308161,-0.133202307704988,-0.110010252366495,-0.109074599870362,-0.0778709727213819,-0.0615854090452782,-0.0483227499336325,-0.0463351455118619,-0.0369176195087665
-0.176268927256129,-0.173309709648268,-0.157868363265683,-0.121718793731598,-0.1202278695854,-0.0869879960465784,-0.066590506513888,-0.0531672431158579,-0.0486242748058133,-0.0397707685482996
-0.152311826248466,-0.184951537225913,-0.165844272431505,-0.112752593430812,-0.119749757529003,-0.0857567363985024,-0.0648760441234243,-0.0535142531581601,-0.0495411310086013,-0.0414040624667527
-0.288865566534517,-0.209239928012854,-0.181544546346455,-0.135174161839979,-0.137108520409414,-0.0957770437291372,-0.073854171264516,-0.0577975663127604,-0.053919312137129,-0.0436956960874043
-0.326794494856816,-0.209153322147995,-0.199707911203293,-0.152544102882489,-0.133728626075864,-0.0835309989014148,-0.0614310622172989,-0.0506445991593382,-0.0507119262943136,-0.0442863142121642
-0.350261378516189,-0.235893777596106,-0.207539851635053,-0.155873251606826,-0.133141995903441,-0.114193865732243,-0.0851437500706191,-0.0591927862988497,-0.0618907166267796,-0.0577133047009705
