"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
-0.0145849865562096,-0.0666585455307555,-0.0798700982608519,-0.0766747804236153,-0.0853030409378562,-0.0598751924462878,-0.0505942065749649,-0.0388708146903976,-0.0356758210648452,-0.0285931710918535
-0.0209977223968866,-0.0587204184995607,-0.0815253082422972,-0.0792005946604578,-0.0878673816112705,-0.0606203723116648,-0.0510602295433066,-0.0395566818014239,-0.0363304960292972,-0.0294089856950745
-0.0183583967034172,-0.0651914096975683,-0.0841167921643665,-0.08251883199528,-0.0867397443456847,-0.0598857754336084,-0.0485783084644628,-0.0383625730619422,-0.0355527612298893,-0.0290200656229491
-0.0439810198823245,-0.074570350314669,-0.0889518479824787,-0.0808584535625716,-0.0844012029823374,-0.0563443997810973,-0.0454981273386949,-0.0357052202011279,-0.0339690427188203,-0.0275629646647719
-0.0646121029299381,-0.0982193698691539,-0.107135186070598,-0.0903943623709042,-0.0942816431640918,-0.0647547400832058,-0.0493825920651102,-0.0397782371785716,-0.0371049926615862,-0.0300909712934929
-0.0415344456633528,-0.113613847373188,-0.114335742837285,-0.0796276925047499,-0.0895692154605622,-0.0617708978816055,-0.0462130366770544,-0.0391951720568238,-0.0374813306555336,-0.0306464368964369
-0.13413411126537,-0.10980573194297,-0.126059217510221,-0.0933330854210969,-0.106579110059372,-0.0720020103718051,-0.0543039345451663,-0.042790262078427,-0.0399055201761196,-0.0317329179320304
-0.150552676004994,-0.0747183542089427,-0.110829105951399,-0.097403216107089,-0.0903870228473748,-0.0498929838453188,-0.0344767719781966,-0.0288141753975235,-0.0320403808439695,-0.028081397022138
-0.149688608592826,-0.0810089826760823,-0.110296126907423,-0.0936738713487688,-0.075065797814558,-0.0676938846349659,-0.0459225408925243,-0.0272471719926608,-0.0348397613376832,-0.0347571967932522
