"","ward_pre","obama_sen_primary_pct","keyes_pct","bush2004_pct","obama_pres_primary_pct","mccain_pct","votes_cast_2004_sen_dem_primary","votes_cast_2004_senate","votes_cast_2004_president","votes_cast_2008_president_dem_primary","votes_cast_2008_president","nondemo.distance","demo.distance","white_median_income","black_median_income","white_name","black_name","registrants"
"73","2 23",0.782608695652174,0.0476190476190476,0.0607142857142857,0.857142857142857,0.0801104972375691,138,273,280,210,362,445.209538317793,726.151404222939,0,67478,0.0428492174820231,0.918366743257935,322
"78","2 28",0.579710144927536,0.13953488372093,0.344632768361582,0.760479041916168,0.195604395604396,69,344,354,167,455,1935.45228985634,1233.94016809622,164526,80886,0.56529513600271,0.311544835372264,328
"83","2 33",0.83739837398374,0.039344262295082,0.0220125786163522,0.950819672131147,0.0148367952522255,123,305,318,183,337,379.233557782684,942.455060039322,0,35265,0.0330059915919101,0.952676198446046,473
"85","2 35",0.6,0.117424242424242,0.212996389891697,0.760869565217391,0.108225108225108,65,264,277,92,231,2556.79069015849,2388.63291316731,4141,3020,0.396603226954997,0.531447982199493,372
"87","2 37",0.715555555555556,0.103508771929825,0.247404844290657,0.724264705882353,0.210989010989011,225,570,578,272,455,2253.02686815175,2548.63567433412,16349,10955,0.766579664165418,0.171713485219992,64
"90","2 40",0.779661016949153,0.0900562851782364,0.149338374291115,0.809421841541756,0.151724137931034,236,533,529,467,1160,1382.63736975056,2533.06026139372,35391,25371,0.421768212591997,0.517536499540554,342
"92","2 42",0.683168316831683,0.0958083832335329,0.0584795321637427,0.936708860759494,0.0130434782608696,101,167,171,158,230,397.864294209212,585.623679297409,554,2371,0.0104383644990263,0.968653608997933,216
"93","2 43",0.715277777777778,0.0884955752212389,0.170731707317073,0.740740740740741,0.149446494464945,288,565,574,378,542,2334.15531475652,2245.8349725131,7282,5330,0.657048869788429,0.245815819068222,640
"96","2 46",0.932258064516129,0.0227743271221532,0.0330578512396694,0.937965260545906,0.017208413001912,310,483,484,403,523,476.86340555033,1099.79742789057,22035,96456,0.015721390580127,0.964932109341025,372
"97","2 47",0.884210526315789,0.0395136778115502,0.0535714285714286,0.955801104972376,0.0175953079178886,190,329,336,181,341,401.224359662176,716.076835536075,0,24829,0.00447068393682694,0.994757360616901,407
"98","2 48",0.888888888888889,0.0227272727272727,0.0194174757281553,0.934272300469484,0.00313479623824451,126,308,309,213,319,733.152005524456,848.961465470252,0,30285,0.00333922056800033,0.992071740812277,380
"100","2 50",0.60655737704918,0.143322475570033,0.230031948881789,0.694174757281553,0.12532637075718,122,307,313,206,383,634.086089274436,641.332407123191,34703,15304,0.286646565233418,0.274467319262447,346
"101","2 51",0.8625,0.0309859154929577,0.0417827298050139,0.957198443579767,0.0144927536231884,160,355,359,257,414,430.629223973628,756.705847280673,23739,9944,0.0157523330669168,0.969565160237088,562
"103","2 53",0.827160493827161,0.0746753246753247,0.114906832298137,0.772388059701492,0.131578947368421,81,308,322,268,684,2219.05347760686,2401.30372074864,26449,19351,0.590752704603619,0.245779084236293,158
"104","2 54",0.776371308016878,0.0928689883913764,0.20655737704918,0.71900826446281,0.097841726618705,237,603,610,363,695,2558.77603092394,2266.26520111629,6329,4678,0.798620184269708,0.116489702794191,458
"109","3 3",0.773049645390071,0.0743034055727554,0.152439024390244,0.844290657439446,0.096551724137931,141,323,328,289,580,740.040055228496,2404.71594852572,88491,74504,0.519063901410208,0.407529891342856,223
"111","3 5",0.896551724137931,0.0451807228915663,0.0391566265060241,0.936440677966102,0.0338983050847458,174,332,332,236,354,280.825918935621,975.389917564302,28860,12699,0.0146420592706079,0.969393084403604,552
"113","3 7",0.902439024390244,0.0234113712374582,0.0326797385620915,0.900990099009901,0.0121065375302663,205,299,306,303,413,877.040240045418,1163.6395013987,12598,16626,0.0757459382623514,0.914394149635782,407
"116","3 10",0.904761904761905,0.0159574468085106,0.0264550264550265,0.923664122137405,0.00505050505050505,105,188,189,131,198,1533.63623605867,1084.22367045315,23141,31724,0.0133169356648463,0.94690963386229,392
"118","3 12",0.837320574162679,0.0364583333333333,0.0494791666666667,0.954385964912281,0.00476190476190476,209,384,384,285,420,890.316752397904,962.645896446366,1170,24446,0.00642790964656321,0.983723435622478,417
"119","3 13",0.0863309352517986,0.144,0.229249011857708,0.390804597701149,0.159362549800797,139,250,253,174,251,2389.09667796782,2876.94599153413,35179,342,0.0548959037273038,0.00168019325891763,397
"123","3 17",0.838028169014085,0.00743494423791822,0.003690036900369,0.987341772151899,0.00772200772200772,142,269,271,158,259,647.931370560436,363.459538140871,7800,46613,0.00213300555335702,0.987123737621182,321
"125","3 19",0.217391304347826,0.198473282442748,0.265151515151515,0.513157894736842,0.161764705882353,46,131,132,76,136,1841.63824199884,2029.71349237234,58339,16630,0.184318686270485,0.00829025443999634,159
"126","3 20",0.890322580645161,0.0285714285714286,0.0427046263345196,0.942583732057416,0.0115942028985507,155,280,281,209,345,613.663883554226,415.812044484281,0,25183,0.000742374687938726,0.989999281507403,185
"128","3 22",0.909090909090909,0.0502092050209205,0.0448979591836735,0.974193548387097,0.00413223140495868,121,239,245,155,242,695.188239021864,831.280827344239,0,37572,0.00461560078358275,0.979826732808442,312
"131","3 25",0.903225806451613,0.0165016501650165,0.0231788079470199,0.959798994974874,0.0060790273556231,124,303,302,199,329,347.1895653695,905.039607630242,8407,8948,0.00346887188045706,0.983138949944863,398
"132","3 26",0.894957983193277,0.0317195325542571,0.0233722871452421,0.963636363636364,0.00558659217877095,238,599,599,110,179,655.568630486167,1483.67084176238,115302,12353,0.0121041521308393,0.980943993316881,292
"134","3 28",0.71830985915493,0.137254901960784,0.272727272727273,0.775147928994083,0.173333333333333,142,153,154,507,975,1188.23089094374,2324.38976000023,18754,19498,0.764185587900572,0.193325013867371,396
"140","3 34",0.971223021582734,0.0401785714285714,0.0308370044052863,0.942148760330578,0.0275229357798165,139,224,227,242,327,491.454939711098,284.708370110221,0,46109,0.00496690123852557,0.989976005021312,292
"141","3 35",0.94375,0.0207100591715976,0.0319767441860465,0.946969696969697,0.0113378684807256,160,338,344,264,441,242.436863073833,582.236191174533,96066,17257,0.00515380253727187,0.979961597709493,350
"142","3 36",0.934782608695652,0.0261780104712042,0.0259067357512953,0.938931297709924,0.00571428571428571,92,191,193,131,175,617.058302327845,763.452359604566,3218,59776,0.00283916052081371,0.984482331657807,238
"143","3 37",0.877777777777778,0.0380434782608696,0.016304347826087,0.929203539823009,0.0119760479041916,90,184,184,113,167,262.02819409885,858.077140755811,0,12977,0.000815581446923393,0.997838084729944,196
"145","3 39",0.947882736156352,0.00512820512820513,0.0280612244897959,0.944827586206897,0.00481927710843374,307,390,392,290,415,470.784152331524,272.306776202197,0,7303,0.00446319265157443,0.987303827755672,703
"147","3 41",0.825301204819277,0.0988505747126437,0.159453302961276,0.84549356223176,0.0694444444444444,166,435,439,233,360,495.45951946139,850.115262031404,24259,30140,0.180095105486906,0.717698877603315,445
"151","3 45",0.760869565217391,0.065625,0.166153846153846,0.807588075880759,0.0845070422535211,138,320,325,369,568,625.203317063972,2633.23640562854,26448,23657,0.25300599098437,0.706984862736944,234
"154","3 48",0.888157894736842,0.0279503105590062,0.0214723926380368,0.967441860465116,0.00636942675159236,152,322,326,215,314,1081.73145876871,1396.8972067487,411,38076,0.0101234815255162,0.965675452134461,294
"155","3 49",0.951219512195122,0.016,0.00806451612903226,0.961904761904762,0.0062111801242236,41,125,124,105,161,284.572478893294,1114.87714977018,0,13863,0.00290387146650576,0.996631952643804,122
"156","3 50",0.883333333333333,0.0286624203821656,0.0126582278481013,0.978902953586498,0,180,314,316,237,327,687.303427635823,1078.05340163587,75538,43252,0.00109709635123252,0.987873544297609,346
"157","4 1",0.920673076923077,0.0556900726392252,0.0773881499395405,0.856275303643725,0.0452781371280724,416,826,827,494,773,1001.62373551544,1762.80205571174,14460,23167,0.409184507097166,0.50458405476477,534
"158","4 2",0.939058171745152,0.0323679727427598,0.0406091370558376,0.935091277890467,0.013677811550152,361,587,591,493,658,741.126950023085,1238.46254900146,5304,60099,0.0390387157668136,0.926551573863174,901
"159","4 3",0.918088737201365,0.0223285486443381,0.0222929936305732,0.93778801843318,0.00788643533123028,293,627,628,434,634,659.557152567627,1392.17859769264,23543,42517,0.0161468709087732,0.972744156433611,1080
"164","4 8",0.901709401709402,0.0285087719298246,0.0352422907488987,0.954177897574124,0.00519031141868512,234,456,454,371,578,514.674321858644,944.724489423499,14286,21072,0.00574428627696405,0.983601435056696,507
"165","4 9",0.959677419354839,0.0220913107511046,0.0267459138187221,0.924693520140105,0.0114122681883024,496,679,673,571,701,1582.2700558527,1620.49780566735,22310,22675,0.0432126659104108,0.9180052365316,670
"166","4 10",0.946564885496183,0.0200729927007299,0.0217391304347826,0.949468085106383,0.0102739726027397,262,548,552,376,584,1117.88890757672,1460.95226115828,77504,36485,0.0240018770274431,0.952504255070981,672
"167","4 11",0.959349593495935,0.0353430353430353,0.0352697095435685,0.974885844748858,0.00905797101449275,246,481,482,438,552,558.491111694658,794.425045001092,40102,23021,0.0111288768753632,0.975898928007908,424
"168","4 12",0.903703703703704,0.0494296577946768,0.0378787878787879,0.934343434343434,0.00348432055749129,135,263,264,198,287,241.960997282961,370.769533740794,18042,38261,0.00077747265477257,0.975130267319633,380
"169","4 13",0.957983193277311,0.0220385674931129,0.0331491712707182,0.868725868725869,0.0389972144846797,238,363,362,259,359,716.720330654153,1611.61490600062,17540,33128,0.187461775424938,0.73579935465595,459
"171","4 15",0.877551020408163,0.0310344827586207,0.0376712328767123,0.931034482758621,0.0434782608695652,147,290,292,261,414,815.254389728774,562.970757717217,4283,23770,0.0331831989151475,0.957773311724299,187
"172","4 16",0.903426791277259,0.0273972602739726,0.0154109589041096,0.927906976744186,0.00949367088607595,321,584,584,430,632,547.312826664455,616.911245106087,28944,7972,0.0338396804059829,0.949704261197566,595
"173","4 17",0.902097902097902,0.0851926977687627,0.134268537074148,0.828080229226361,0.103448275862069,286,493,499,349,522,1858.61748583185,2348.60173737539,5055,4887,0.427597794838087,0.514133899432931,148
"177","4 21",0.95046439628483,0.0275590551181102,0.0505836575875486,0.896713615023474,0.0318021201413428,323,508,514,426,566,635.27997689192,1474.38813946914,46228,35788,0.266177879492965,0.656098575130434,583
"178","4 22",0.954285714285714,0.0458715596330275,0.0848708487084871,0.915690866510539,0.0178890876565295,350,545,542,427,559,949.145994419022,1267.81082747383,58098,30747,0.312073575957793,0.634938648510762,370
"179","4 23",0.963730569948187,0.0524861878453039,0.092436974789916,0.906382978723404,0.0695187165775401,193,362,357,235,374,507.530361035904,1217.59250241291,35952,19194,0.426236321496061,0.528684684479771,332
"180","4 24",0.934782608695652,0.0348837209302326,0.0460652591170825,0.916666666666667,0.0353817504655493,322,516,521,372,537,584.276476320181,959.455955071286,35210,18851,0.183476927974572,0.777377781566015,578
"181","4 25",0.954022988505747,0.0298507462686567,0.0646766169154229,0.929752066115702,0.024390243902439,261,402,402,242,410,1053.23898945187,1101.81570060556,57628,135662,0.097409012344888,0.830240646525349,110
"183","4 27",0.935374149659864,0.0269607843137255,0.0393120393120393,0.93968253968254,0.00453514739229025,294,408,407,315,441,401.437244221537,732.477375772207,6482,10661,0.0125717617187321,0.969457371549144,466
"184","4 28",0.933673469387755,0.0594900849858357,0.0883977900552486,0.911894273127753,0.0540540540540541,196,353,362,227,333,847.428371626574,1698.3139057323,20703,25618,0.516060105669809,0.402007827711703,404
"185","4 29",0.885321100917431,0.0728291316526611,0.128851540616246,0.863481228668942,0.0515970515970516,218,357,357,293,407,1743.39033055922,2159.6210056167,12130,11727,0.44668026445164,0.458417591120695,1138
"186","4 30",0.896296296296296,0.0394973070017953,0.0522522522522523,0.93127147766323,0.0509708737864078,270,557,555,291,412,728.708245270049,1611.97969641139,13278,23023,0.0850670916766368,0.853208891960795,594
"187","4 31",0.930091185410334,0.0464285714285714,0.0741410488245931,0.809954751131222,0.0601719197707736,329,560,553,221,349,1297.1638811492,2112.10399173075,10754,16600,0.715785747402765,0.202608302399213,385
"188","4 32",0.939873417721519,0.0507518796992481,0.109022556390977,0.836565096952909,0.0694980694980695,316,532,532,361,518,904.48607705643,1528.19242709244,72914,41455,0.549873024766743,0.390388539673024,195
"190","4 34",0.936274509803922,0.0571428571428571,0.115273775216138,0.797570850202429,0.0604395604395604,204,350,347,247,364,1460.93620219108,2236.12810844851,17456,22287,0.590621545695484,0.323712686933327,270
"192","4 36",0.912698412698413,0.0117647058823529,0.0313725490196078,0.930131004366812,0.0110497237569061,126,255,255,229,362,917.44949852868,1022.20744359284,572,13720,0.0159880946169608,0.953744164194792,351
"194","4 38",0.944591029023747,0.0370942812982998,0.0692307692307692,0.896130346232179,0.0263543191800878,379,647,650,491,683,1803.73840916362,2399.2116720668,21637,16906,0.346326729847276,0.584038964407134,922
"197","4 41",0.932330827067669,0.0559701492537313,0.104477611940299,0.837837837837838,0.0535714285714286,133,268,268,185,280,1111.01698920659,1990.21161681477,19994,19013,0.751900799863057,0.160316684113053,249
"199","4 43",0.919075144508671,0.0229226361031519,0.0431034482758621,0.865740740740741,0.0392749244712991,173,349,348,216,331,1159.12780207216,2006.64021190594,7721,12090,0.585145248020099,0.327300500917215,265
"200","4 44",0.903225806451613,0.0212765957446809,0.049469964664311,0.860986547085202,0.021021021021021,124,282,283,223,333,1409.84994041557,2140.47701706736,33049,44218,0.404020863013632,0.529279905223983,564
"201","4 45",0.956221198156682,0.0369747899159664,0.0735785953177258,0.916500994035785,0.0302547770700637,434,595,598,503,628,1581.81223265886,1914.34474807834,3341,3230,0.209110772038855,0.75473628049429,555
"202","4 46",0.934782608695652,0.0430622009569378,0.0506024096385542,0.944664031620553,0.0209424083769634,230,418,415,253,382,356.619851359805,1237.98054628211,26824,20562,0.119400361321846,0.830431111023299,316
"203","4 47",0.96031746031746,0.046740467404674,0.0679012345679012,0.896694214876033,0.0209205020920502,378,813,810,484,717,1302.97931585898,1925.13426359212,66302,66400,0.27981529977508,0.654908484476738,785
"204","4 48",0.92896174863388,0.0548387096774194,0.0876623376623377,0.860526315789474,0.0603112840466926,366,620,616,380,514,1493.94039518213,1972.64936292297,14252,13779,0.296307844356985,0.64378901344494,101
"206","4 50",0.914285714285714,0.0241286863270777,0.0347593582887701,0.952380952380952,0.00657894736842105,210,373,374,294,456,306.411069231266,746.23419510182,31284,18958,0.00993366570931493,0.970749735279124,574
"207","4 51",0.964788732394366,0.0196506550218341,0.032967032967033,0.918840579710145,0.0129032258064516,284,458,455,345,465,715.030142352591,1146.36843321824,5043,12045,0.0481285613685773,0.914366963543084,218
"208","4 52",0.901060070671378,0.030241935483871,0.0240480961923848,0.956730769230769,0.00350877192982456,283,496,499,416,570,374.505183450596,677.848383781836,9557,18841,0.00188528260247581,0.98500191960176,725
