"","ward_pre","dole_pct","bush2000_pct","votes_cast_1996","votes_cast_2000","nondemo.distance","demo.distance","white_median_income","black_median_income","white_name","black_name","registrants"
"15","1 15",0.0428015564202335,0.0666666666666667,257,360,1671.06487112956,2365.48190246201,15815,12996,0.187751766294717,0.0797649419489606,758
"16","1 16",0.043859649122807,0.0699088145896656,228,329,882.557353309192,2244.23641307866,14550,18307,0.0566964343960845,0.381559782340192,522
"17","1 17",0.0928792569659443,0.154838709677419,323,465,2293.47290320105,2279.67433645815,54391,27749,0.671601188544579,0.0691679400844075,751
"18","1 18",0.0513698630136986,0.0740740740740741,292,351,1509.32125070267,2594.26211161323,31577,20820,0.134004225830842,0.116861389235646,725
"19","1 19",0.0611111111111111,0.074468085106383,360,376,2231.77231550695,3263.21210513001,19353,32882,0.0765376721016603,0.142411197390643,739
"20","1 20",0.0367647058823529,0.0702341137123746,272,299,1798.37220307669,2678.38371191744,18391,11469,0.106451265353685,0.178185206572495,840
"21","1 21",0.121951219512195,0.2272,410,625,2817.01300937208,2325.70737100718,94195,41558,0.659988933099993,0.0179039826228173,884
"22","1 22",0.0305676855895196,0.0833333333333333,229,312,2357.67566866532,3088.9140164826,19243,15507,0.0984635459683044,0.236978782755576,832
"23","1 23",0.164739884393064,0.180679785330948,346,559,1386.69312158626,1097.77956833984,108121,47232,0.468925732884767,0.022876695607502,892
"24","1 24",0.126353790613718,0.138888888888889,277,360,1245.14042737762,2153.46653601106,31472,23736,0.439462409916416,0.0329147147094669,732
"25","1 25",0.106741573033708,0.164576802507837,356,638,2441.70032898451,1946.24603280114,92354,69612,0.523662988143128,0.0419623980578241,1105
"26","1 26",0.103926096997691,0.184549356223176,433,699,2136.99631464717,1660.66632208335,64656,88932,0.528165377202266,0.0405135000273624,1328
"27","1 27",0.0782918149466192,0.113022113022113,281,407,1169.78165203838,2521.62679477141,36339,15650,0.0747958955979721,0.234812252904276,649
"28","1 28",0.125,0.0989010989010989,80,91,896.281148381481,2538.82835769182,61994,33940,0.0852619486774755,0.211387263750575,209
"29","1 29",0.118918918918919,0.172413793103448,370,580,1750.53440566813,1555.50743595678,62825,76755,0.37127264968357,0.0790889764326719,919
"30","1 30",0.053968253968254,0.113300492610837,315,406,1192.8598794831,2284.25506767096,35495,10944,0.177360979303433,0.0810479336951986,867
"31","1 31",0.0307692307692308,0.0482758620689655,130,145,1399.69594985177,1659.78821344062,10427,3951,0.130531440138298,0.723388778517686,226
"32","1 32",0.0818505338078292,0.122950819672131,281,366,1748.79907546606,1720.19297090104,36997,27461,0.455291849369036,0.0941925312939453,647
"33","1 33",0.0634920634920635,0.130733944954128,315,436,1216.10248802665,1091.51713506952,55059,59614,0.23028468050261,0.0217589429303999,879
"34","1 34",0.216216216216216,0.224719101123595,74,89,1996.66840982295,2006.48467904656,5990,11735,0.688223116621829,0.0174904840708326,177
"35","1 35",0.27027027027027,0.259615384615385,74,104,1375.52859375089,1689.43534511276,6007,17154,0.794662164257659,0.00629971909239845,122
"36","1 36",0.159021406727829,0.200549450549451,327,364,1776.35267295424,1558.35151657099,62119,0,0.625069658296711,0.0226271298761968,853
"37","2 1",0.227272727272727,0.274636510500808,352,619,2319.75595210789,1925.72902055227,48862,28316,0.749258973022782,0.16401025665234,710
"38","2 2",0.0152380952380952,0.0395256916996047,525,506,603.730228750384,1096.67771369617,5935,9520,0.0419906754914224,0.924296708084362,838
"43","2 7",0.0131233595800525,0.00936768149882904,381,427,626.750747770291,3100.33255911113,1569,260,0.0295567139705665,0.948806052233228,788
"44","2 8",0.178947368421053,0.197674418604651,475,430,1987.48853666369,2507.98508231102,8572,8433,0.579913216491888,0.356832407386502,439
"47","2 11",0.191666666666667,0.191330343796712,600,669,2108.80759160614,2184.69087521734,17215,12693,0.648142690456063,0.261799366635404,1180
"48","2 12",0.0105633802816901,0.0368421052631579,284,380,604.816018816677,1104.1720481996,0,1730,0.129298599354986,0.852224959673547,196
"49","2 13",0.019438444924406,0.0227743271221532,463,483,725.939252582202,1152.79855338239,4070,6528,0.0277757375435925,0.938632817671312,431
"50","2 14",0.020671834625323,0.0269541778975741,387,371,522.122792259818,1500.17456623368,10152,7125,0.0881457469486552,0.849613154181543,411
"54","2 18",0.00829875518672199,0.0206611570247934,482,484,406.880087426952,716.103592043446,9351,15814,0.00186980832666889,0.985034915866738,731
"58","2 22",0.189839572192513,0.279946164199192,748,743,1383.33425635563,2028.15931580463,135686,156667,0.688317305921265,0.230750630296655,1057
"60","2 24",0.09375,0.173076923076923,160,364,530.430479364403,810.906901617016,24750,47963,0.110947203721393,0.830210461994045,798
"69","2 33",0.0521541950113379,0.0344086021505376,441,465,538.485591525531,2207.15019161157,10473,16820,0.0973233092743412,0.846915247547733,182
"71","2 35",0.267826086956522,0.261627906976744,575,172,2564.60560314457,2410.18819702678,7092,4922,0.471013953966128,0.453954691272364,489
"73","2 37",0.159313725490196,0.228937728937729,408,546,2191.33445843467,2445.93383676815,41066,29317,0.439970142196217,0.444335909072294,553
"76","2 40",0.033112582781457,0.105882352941176,302,510,770.015308269583,2504.69711943428,114896,100369,0.292320124377941,0.656302696304957,1154
"79","2 43",0.200883002207506,0.229007633587786,453,524,2294.30263917578,2312.04657072624,3672,2708,0.626703608967556,0.306730088456588,360
"82","2 46",0.0397830018083183,0.022181146025878,553,541,479.469506481884,1095.77499726142,34886,123629,0.0271281722009716,0.954057907678711,1238
"83","2 47",0.0458715596330275,0.0688073394495413,218,218,769.785624917101,1354.36382855145,215,44009,0.0572885534798866,0.899383022373234,651
"84","2 48",0.031413612565445,0.0568720379146919,382,422,742.988132490208,1610.39413538264,13375,21481,0.0850670916766368,0.853208891960795,594
"85","2 49",0.197278911564626,0.234875444839858,147,281,2713.87809118622,2352.5874379768,69399,67248,0.806333237865611,0.101129894539888,363
"86","2 50",0.0829015544041451,0.122362869198312,193,237,553.894056560666,688.035905913736,28246,35792,0.18531161184926,0.398799894811224,517
"92","3 2",0.0119402985074627,0.0267639902676399,335,411,280.289782501871,310.324076019505,0,21702,0.0031780053084579,0.986635445670013,1022
"100","3 10",0.0144508670520231,0.0247524752475248,346,404,1697.19209258834,1367.21069079744,50412,24454,0.0494353703174237,0.907852906240702,769
