"coefficient","stdev","N.treatment","N.control"
-0.244283596427203,0.146398921200789,45,45
-0.100727899718245,0.0678187017424721,161,161
-0.0316951268137246,0.0494444182771201,364,364
-0.0638072600567526,0.0331339973556189,759,759
-0.114761960826696,0.0256817762253165,1096,1096
-0.0858807958580185,0.0246988519866695,1631,1631
-0.0658301032336295,0.0201618220581166,2580,2580
-0.0547934542166658,0.0154806038465906,4090,4090
-0.0255896672286359,0.0141262891960102,5535,5535
-0.0166272682921021,0.012304738487047,7583,7583
